run_id,date,doc_type,vendor,country,number,currency,net,vat,gross,category,status,review_reasons,tags,pages,scanned,file_path,_pack,_extract,doc_id,file_name,vendor_or_bank,page_range,extracted
2026-09-22 08:28:36,2026-07-14,invoice,Baltic Office Solutions UAB,LT,BOS-2026-0788,EUR,914,191.94,1105.94,Office supplies,pass,,,1-2,no,,"{""page_count"": 14, ""documents_found"": 12, ""coverage_ok"": true, ""missing_pages"": [], ""duplicate_pages"": [], ""model"": ""claude-sonnet-5"", ""input_tokens"": 27307, ""output_tokens"": 1916, ""cost_usd"": 0.0738}","{""model"": ""claude-sonnet-5"", ""cost_usd"": 0.0162}",1,mixed_pack_intl_v2.pdf,Baltic Office Solutions UAB,1-2,"{""doc_type"": ""invoice"", ""vendor_name"": ""Baltic Office Solutions UAB"", ""vendor_country"": ""LT"", ""invoice_number"": ""BOS-2026-0788"", ""invoice_date"": ""2026-07-14"", ""due_date"": ""2026-08-13"", ""currency"": ""EUR"", ""net_total"": 914, ""vat_rate_percent"": 21, ""vat_amount"": 191.94, ""gross_total"": 1105.94, ""reverse_charge"": false, ""suggested_expense_category"": ""Office supplies""}"
2026-09-22 08:28:36,2026-07-19,invoice,Nordika Cloud OÜ,EE,NC-2026-1442,EUR,132,24.72,159.72,Software & IT,needs_review,net 132 + VAT 24.72 = 156.72 ≠ gross 159.72 | VAT 24.72 ≠ 21% of 132 (= 27.72) | VAT rate 21% is not a EE rate (0/9/22/24%),,3,no,,"{""page_count"": 14, ""documents_found"": 12, ""coverage_ok"": true, ""missing_pages"": [], ""duplicate_pages"": [], ""model"": ""claude-sonnet-5"", ""input_tokens"": 27307, ""output_tokens"": 1916, ""cost_usd"": 0.0738}","{""model"": ""claude-sonnet-5"", ""cost_usd"": 0.0103}",2,mixed_pack_intl_v2.pdf,Nordika Cloud OÜ,3,"{""doc_type"": ""invoice"", ""vendor_name"": ""Nordika Cloud OÜ"", ""vendor_country"": ""EE"", ""invoice_number"": ""NC-2026-1442"", ""invoice_date"": ""2026-07-19"", ""due_date"": ""2026-08-02"", ""currency"": ""EUR"", ""net_total"": 132, ""vat_rate_percent"": 21, ""vat_amount"": 24.72, ""gross_total"": 159.72, ""reverse_charge"": false, ""suggested_expense_category"": ""Software & IT""}"
2026-09-22 08:28:36,2026-07-18,invoice,Bürotech Demo GmbH,DE,BT-2026-3321,EUR,640,121.6,761.6,Office supplies,pass,,,4,no,,"{""page_count"": 14, ""documents_found"": 12, ""coverage_ok"": true, ""missing_pages"": [], ""duplicate_pages"": [], ""model"": ""claude-sonnet-5"", ""input_tokens"": 27307, ""output_tokens"": 1916, ""cost_usd"": 0.0738}","{""model"": ""claude-sonnet-5"", ""cost_usd"": 0.0106}",3,mixed_pack_intl_v2.pdf,Bürotech Demo GmbH,4,"{""doc_type"": ""invoice"", ""vendor_name"": ""Bürotech Demo GmbH"", ""vendor_country"": ""DE"", ""invoice_number"": ""BT-2026-3321"", ""invoice_date"": ""2026-07-18"", ""due_date"": ""2026-08-17"", ""currency"": ""EUR"", ""net_total"": 640, ""vat_rate_percent"": 19, ""vat_amount"": 121.6, ""gross_total"": 761.6, ""reverse_charge"": false, ""suggested_expense_category"": ""Office supplies""}"
2026-09-22 08:28:36,2026-07-21,invoice,Nordisk Kontor Demo AB,SE,2026-5588,SEK,12400,3100,15500,Office supplies,pass,,,5,no,,"{""page_count"": 14, ""documents_found"": 12, ""coverage_ok"": true, ""missing_pages"": [], ""duplicate_pages"": [], ""model"": ""claude-sonnet-5"", ""input_tokens"": 27307, ""output_tokens"": 1916, ""cost_usd"": 0.0738}","{""model"": ""claude-sonnet-5"", ""cost_usd"": 0.01}",4,mixed_pack_intl_v2.pdf,Nordisk Kontor Demo AB,5,"{""doc_type"": ""invoice"", ""vendor_name"": ""Nordisk Kontor Demo AB"", ""vendor_country"": ""SE"", ""invoice_number"": ""2026-5588"", ""invoice_date"": ""2026-07-21"", ""due_date"": ""2026-08-20"", ""currency"": ""SEK"", ""net_total"": 12400, ""vat_rate_percent"": 25, ""vat_amount"": 3100, ""gross_total"": 15500, ""reverse_charge"": false, ""suggested_expense_category"": ""Office supplies""}"
2026-09-22 08:28:36,2026-07-15,invoice,Emerald Docs Demo Ltd,IE,ED-2026-0912,EUR,420,96.6,516.6,Professional services,pass,,,6,no,,"{""page_count"": 14, ""documents_found"": 12, ""coverage_ok"": true, ""missing_pages"": [], ""duplicate_pages"": [], ""model"": ""claude-sonnet-5"", ""input_tokens"": 27307, ""output_tokens"": 1916, ""cost_usd"": 0.0738}","{""model"": ""claude-sonnet-5"", ""cost_usd"": 0.0104}",5,mixed_pack_intl_v2.pdf,Emerald Docs Demo Ltd,6,"{""doc_type"": ""invoice"", ""vendor_name"": ""Emerald Docs Demo Ltd"", ""vendor_country"": ""IE"", ""invoice_number"": ""ED-2026-0912"", ""invoice_date"": ""2026-07-15"", ""due_date"": ""2026-08-14"", ""currency"": ""EUR"", ""net_total"": 420, ""vat_rate_percent"": 23, ""vat_amount"": 96.6, ""gross_total"": 516.6, ""reverse_charge"": false, ""suggested_expense_category"": ""Professional services""}"
2026-09-22 08:28:36,2026-07-20,invoice,Demo Analytics Inc.,US,DA-10077,USD,850,0,850,Professional services,pass,,,7,no,,"{""page_count"": 14, ""documents_found"": 12, ""coverage_ok"": true, ""missing_pages"": [], ""duplicate_pages"": [], ""model"": ""claude-sonnet-5"", ""input_tokens"": 27307, ""output_tokens"": 1916, ""cost_usd"": 0.0738}","{""model"": ""claude-sonnet-5"", ""cost_usd"": 0.0097}",6,mixed_pack_intl_v2.pdf,Demo Analytics Inc.,7,"{""doc_type"": ""invoice"", ""vendor_name"": ""Demo Analytics Inc."", ""vendor_country"": ""US"", ""invoice_number"": ""DA-10077"", ""invoice_date"": ""2026-07-20"", ""due_date"": null, ""payment_terms"": ""Net 30"", ""currency"": ""USD"", ""net_total"": 850, ""vat_rate_percent"": 0, ""vat_amount"": 0, ""gross_total"": 850, ""reverse_charge"": false, ""suggested_expense_category"": ""Professional services""}"
2026-09-22 08:28:36,2026-07-17,invoice,Demo Software B.V.,NL,DS-2026-2201,EUR,275,0,275,Software & IT,pass,,,8,no,,"{""page_count"": 14, ""documents_found"": 12, ""coverage_ok"": true, ""missing_pages"": [], ""duplicate_pages"": [], ""model"": ""claude-sonnet-5"", ""input_tokens"": 27307, ""output_tokens"": 1916, ""cost_usd"": 0.0738}","{""model"": ""claude-sonnet-5"", ""cost_usd"": 0.0102}",7,mixed_pack_intl_v2.pdf,Demo Software B.V.,8,"{""doc_type"": ""invoice"", ""vendor_name"": ""Demo Software B.V."", ""vendor_country"": ""NL"", ""invoice_number"": ""DS-2026-2201"", ""invoice_date"": ""2026-07-17"", ""due_date"": ""2026-07-31"", ""currency"": ""EUR"", ""net_total"": 275, ""vat_rate_percent"": 0, ""vat_amount"": 0, ""gross_total"": 275, ""reverse_charge"": true, ""suggested_expense_category"": ""Software & IT""}"
2026-09-22 08:28:36,2026-07-10,utility_bill,Vilniaus Energija Demo AB,LT,VE-2026-07-55821,EUR,333.43,30.01,363.44,Utilities,pass,,,9,no,,"{""page_count"": 14, ""documents_found"": 12, ""coverage_ok"": true, ""missing_pages"": [], ""duplicate_pages"": [], ""model"": ""claude-sonnet-5"", ""input_tokens"": 27307, ""output_tokens"": 1916, ""cost_usd"": 0.0738}","{""model"": ""claude-sonnet-5"", ""cost_usd"": 0.0105}",8,mixed_pack_intl_v2.pdf,Vilniaus Energija Demo AB,9,"{""doc_type"": ""utility_bill"", ""vendor_name"": ""Vilniaus Energija Demo AB"", ""vendor_country"": ""LT"", ""invoice_number"": ""VE-2026-07-55821"", ""invoice_date"": ""2026-07-10"", ""due_date"": ""2026-07-25"", ""currency"": ""EUR"", ""net_total"": 333.43, ""vat_rate_percent"": 9, ""vat_amount"": 30.01, ""gross_total"": 363.44, ""reverse_charge"": false, ""suggested_expense_category"": ""Utilities""}"
2026-09-22 08:28:36,2026-07-21,bank_statement,Demo Bankas AB,LT,2026-07-01_2026-07-21,EUR,8412.77,,5381.24,Bank,pass,,,10-11,no,,"{""page_count"": 14, ""documents_found"": 12, ""coverage_ok"": true, ""missing_pages"": [], ""duplicate_pages"": [], ""model"": ""claude-sonnet-5"", ""input_tokens"": 27307, ""output_tokens"": 1916, ""cost_usd"": 0.0738}","{""model"": ""claude-sonnet-5"", ""cost_usd"": 0.0181}",9,mixed_pack_intl_v2.pdf,Demo Bankas AB,10-11,"{""doc_type"": ""bank_statement"", ""bank_name"": ""Demo Bankas AB"", ""iban_masked"": ""***0003"", ""currency"": ""EUR"", ""period_from"": ""2026-07-01"", ""period_to"": ""2026-07-21"", ""opening_balance"": 8412.77, ""closing_balance"": 5381.24, ""transaction_count"": 11}"
2026-09-22 08:28:36,2026-07-16,receipt,CIRCLE D DEMO DEGALINĖ,LT,88112,EUR,51.36,10.78,62.14,Vehicle & fuel,pass,,,12,no,,"{""page_count"": 14, ""documents_found"": 12, ""coverage_ok"": true, ""missing_pages"": [], ""duplicate_pages"": [], ""model"": ""claude-sonnet-5"", ""input_tokens"": 27307, ""output_tokens"": 1916, ""cost_usd"": 0.0738}","{""model"": ""claude-sonnet-5"", ""cost_usd"": 0.0083}",10,mixed_pack_intl_v2.pdf,CIRCLE D DEMO DEGALINĖ,12,"{""doc_type"": ""receipt"", ""vendor_name"": ""CIRCLE D DEMO DEGALINĖ"", ""vendor_country"": ""LT"", ""receipt_number"": ""88112"", ""date"": ""2026-07-16"", ""currency"": ""EUR"", ""net_total"": 51.36, ""vat_rate_percent"": 21, ""vat_amount"": 10.78, ""gross_total"": 62.14, ""suggested_expense_category"": ""Vehicle & fuel""}"
